#=====================================================
# iance$|noun|iant$|adj|2013|ORG_RULE|CHILD
# Total count: 34
#=====================================================
superradiance|noun|E0610854|superradiant|adj|E0610853|yes
pseudo-compliance|noun|E0621750|pseudo-compliant|adj|E0621751|yes
deviance|noun|E0022166|deviant|adj|E0022168|yes
brilliance|noun|E0014069|brilliant|adj|E0014071|yes
insouciance|noun|E0034821|insouciant|adj|E0034822|yes
valiance|noun|E0321073|valiant|adj|E0321072|yes
non-compliance|noun|E0042962|non-compliant|adj|E0042963|yes
noncompliance|noun|E0042962|noncompliant|adj|E0042963|yes
defiance|noun|E0021208|defiant|adj|E0218415|yes
variance|noun|E0064012|variant|adj|E0064013|yes
irradiance|noun|E0035882|irradiant|adj|E0335299|yes
pseudocompliance|noun|E0621750|pseudocompliant|adj|E0621751|yes
overcompliance|noun|E0222663|overcompliant|adj|E0606558|yes
autocovariance|noun|E0610230|autocovariant|adj|E0610231|yes
co-variance|noun|E0019455|co-variant|adj|E0234703|yes
incompliance|noun|E0547200|incompliant|adj|E0547199|yes
luxuriance|noun|E0038292|luxuriant|adj|E0038293|yes
compliance|noun|E0018175|compliant|adj|E0018176|yes
antivariance|noun|E0614109|antivariant|adj|E0614110|yes
radiance|noun|E0051762|radiant|adj|E0051763|yes
multi-variance|noun|E0607054|multi-variant|adj|E0337323|yes
super-radiance|noun|E0610854|super-radiant|adj|E0610853|yes
anti-variance|noun|E0614109|anti-variant|adj|E0614110|yes
nonreliance|noun|E0604280|nonreliant|adj|E0604281|yes
non-reliance|noun|E0604280|non-reliant|adj|E0604281|yes
vicariance|noun|E0514815|vicariant|adj|E0514814|yes
covariance|noun|E0019455|covariant|adj|E0234703|yes
self-reliance|noun|E0055102|self-reliant|adj|E0055103|yes
invariance|noun|E0320173|invariant|adj|E0035681|yes
reliance|noun|E0052638|reliant|adj|E0052639|yes
multivariance|noun|E0607054|multivariant|adj|E0337323|yes
over-compliance|noun|E0222663|over-compliant|adj|E0606558|yes
biovariance|noun|E0423696|biovariant|adj|E0423694|yes
overreliance|noun|E0222775|overreliant|adj|E0222776|yes
#=====================================================
# iency$|noun|ient$|adj|2013|ORG_RULE|CHILD
# Total count: 55
#=====================================================
immuno-deficiency|noun|E0033593|immuno-deficient|adj|E0033594|yes
sentiency|noun|E0230314|sentient|adj|E0220232|yes
nonefficiency|noun|E0605187|nonefficient|adj|E0605186|yes
haploinsufficiency|noun|E0514563|haploinsufficient|adj|E0338779|yes
nonimmunodeficiency|noun|E0603444|nonimmunodeficient|adj|E0603443|yes
zinc deficiency|noun|E0546846|zinc deficient|adj|E0722172|yes
pseudo-deficiency|noun|E0508806|pseudo-deficient|adj|E0509534|yes
pruriency|noun|E0421570|prurient|adj|E0050701|yes
leniency|noun|E0037218|lenient|adj|E0037219|yes
deficiency|noun|E0021217|deficient|adj|E0021220|yes
non-efficiency|noun|E0605187|non-efficient|adj|E0605186|yes
inefficiency|noun|E0034283|inefficient|adj|E0034284|yes
non-deficiency|noun|E0607828|non-deficient|adj|E0519017|yes
circumambiency|noun|E0708564|circumambient|adj|E0361442|yes
self-sufficiency|noun|E0055113|self-sufficient|adj|E0055114|yes
iron deficiency|noun|E0688886|iron deficient|adj|E0741268|yes
type I protein C deficiency|noun|E0766520|type I protein C deficient|adj|E0766521|yes
patiency|noun|E0589520|patient|adj|E0045986|yes
MMR deficiency|noun|E0758934|MMR deficient|adj|E0758933|yes
insufficiency|noun|E0034873|insufficient|adj|E0034874|yes
immunosufficiency|noun|E0728723|immunosufficient|adj|E0728724|yes
immunodeficiency|noun|E0033593|immunodeficient|adj|E0033594|yes
choline deficiency|noun|E0747548|choline deficient|adj|E0747547|yes
expediency|noun|E0026740|expedient|adj|E0026741|yes
transiency|noun|E0061769|transient|adj|E0061770|yes
multideficiency|noun|E0611944|multideficient|adj|E0611943|yes
resiliency|noun|E0052973|resilient|adj|E0052974|yes
iron-deficiency|noun|E0688886|iron-deficient|adj|E0741268|yes
sufficiency|noun|E0514566|sufficient|adj|E0058841|yes
indeficiency|noun|E0589515|indeficient|adj|E0734445|yes
haplo-insufficiency|noun|E0514563|haplo-insufficient|adj|E0338779|yes
pseudodeficiency|noun|E0508806|pseudodeficient|adj|E0509534|yes
inexpediency|noun|E0034317|inexpedient|adj|E0034318|yes
growth hormone deficiency|noun|E0710324|growth hormone deficient|adj|E0757548|yes
