E66.9;Overweight or obesity
F01.50;Major vascular neurocognitive disorder, Probable, Without behavioral disturbance
F01.51;Major vascular neurocognitive disorder, Probable, With behavioral disturbance
F02.80;Major neurocognitive disorder due to another medical condition, Without behavioral disturbance
F02.80;Major neurocognitive disorder due to multiple etiologies, Without behavioral disturbance
F02.81;Major neurocognitive disorder due to another medical condition, With behavioral disturbance
F02.81;Major neurocognitive disorder due to multiple etiologies, With behavioral disturbance
F05;Delirium due to another medical condition
F05;Delirium due to multiple etiologies
F06.0;Psychotic disorder due to another medical condition, With hallucinations
F06.1;Catatonia associated with another mental disorder (catatonia specifier)
F06.1;Catatonic disorder due to another medical condition
F06.2;Psychotic disorder due to another medical condition, With delusions
F06.31;Depressive disorder due to another medical condition, With depressive features
F06.32;Depressive disorder due to another medical condition, With major depressive-like episode
F06.33;Bipolar and related disorder due to another medical condition, With manic features
F06.33;Bipolar and related disorder due to another medical condition, With manic- or hypomanic-like episodes
F06.34;Bipolar and related disorder due to another medical condition, With mixed features
F06.34;Depressive disorder due to another medical condition, With mixed features
F06.4;Anxiety disorder due to another medical condition
F06.8;Obsessive-compulsive and related disorder due to another medical condition
F06.8;Other specified mental disorder due to another medical condition
F07.0;Personality change due to another medical condition
F09;Unspecified mental disorder due to another medical condition
F10.10;Alcohol use disorder, Mild
F10.121;Alcohol intoxication delirium, With mild use disorder
F10.129;Alcohol intoxication, With mild use disorder
F10.14;Alcohol-induced bipolar and related disorder, With mild use disorder
F10.14;Alcohol-induced depressive disorder, With mild use disorder
F10.159;Alcohol-induced psychotic disorder, With mild use disorder
F10.180;Alcohol-induced anxiety disorder, With mild use disorder
F10.181;Alcohol-induced sexual dysfunction, With mild use disorder
F10.182;Alcohol-induced sleep disorder, With mild use disorder
F10.20;Alcohol use disorder, Moderate
F10.20;Alcohol use disorder, Severe
F10.221;Alcohol intoxication delirium, With moderate or severe use disorder
F10.229;Alcohol intoxication, With moderate or severe use disorder
F10.231;Alcohol withdrawal delirium
F10.232;Alcohol withdrawal, With perceptual disturbances
F10.239;Alcohol withdrawal, Without perceptual disturbances
F10.24;Alcohol-induced bipolar and related disorder, With moderate or severe use disorder
F10.24;Alcohol-induced depressive disorder, With moderate or severe use disorder
F10.259;Alcohol-induced psychotic disorder, With moderate or severe use disorder
F10.26;Alcohol-induced major neurocognitive disorder, Amnestic confabulatory type, With moderate or severe use disorder
F10.27;Alcohol-induced major neurocognitive disorder, Nonamnestic confabulatory type, With moderate or severe use disorder
F10.280;Alcohol-induced anxiety disorder, With moderate or severe use disorder
F10.281;Alcohol-induced sexual dysfunction, With moderate or severe use disorder
F10.282;Alcohol-induced sleep disorder, With moderate or severe use disorder
F10.288;Alcohol-induced mild neurocognitive disorder, With moderate or severe use disorder
F10.921;Alcohol intoxication delirium, Without use disorder
F10.929;Alcohol intoxication, Without use disorder
F10.94;Alcohol-induced bipolar and related disorder, Without use disorder
F10.94;Alcohol-induced depressive disorder, Without use disorder
F10.959;Alcohol-induced psychotic disorder, Without use disorder
F10.96;Alcohol-induced major neurocognitive disorder, Amnestic confabulatory type, Without use disorder
F10.97;Alcohol-induced major neurocognitive disorder, Nonamnestic confabulatory type, Without use disorder
F10.980;Alcohol-induced anxiety disorder, Without use disorder
F10.981;Alcohol-induced sexual dysfunction, Without use disorder
F10.982;Alcohol-induced sleep disorder, Without use disorder
F10.988;Alcohol-induced mild neurocognitive disorder, Without use disorder
F10.99;Unspecified alcohol-related disorder
F11.10;Opioid use disorder, Mild
F11.121;Opioid intoxication delirium, With mild use disorder
F11.122;Opioid intoxication, With perceptual disturbances, With mild use disorder
F11.129;Opioid intoxication, Without perceptual disturbances, With mild use disorder
F11.14;Opioid-induced depressive disorder, With mild use disorder
F11.181;Opioid-induced sexual dysfunction, With mild use disorder
F11.182;Opioid-induced sleep disorder, With mild use disorder
F11.188;Opioid-induced anxiety disorder, With mild use disorder
F11.20;Opioid use disorder, Moderate
F11.20;Opioid use disorder, Severe
F11.221;Opioid intoxication delirium, With moderate or severe use disorder
F11.222;Opioid intoxication, With perceptual disturbances, With moderate or severe use disorder
F11.229;Opioid intoxication, Without perceptual disturbances, With moderate or severe use disorder
F11.23;Opioid withdrawal
F11.23;Opioid withdrawal delirium
F11.24;Opioid-induced depressive disorder, With moderate or severe use disorder
F11.281;Opioid-induced sexual dysfunction, With moderate or severe use disorder
F11.282;Opioid-induced sleep disorder, With moderate or severe use disorder
F11.288;Opioid-induced anxiety disorder, With moderate or severe use disorder
F11.921;Opioid intoxication delirium, Without use disorder
F11.921;Opioid-induced delirium
F11.922;Opioid intoxication, With perceptual disturbances, Without use disorder
F11.929;Opioid intoxication, Without perceptual disturbances, Without use disorder
F11.94;Opioid-induced depressive disorder, Without use disorder
F11.981;Opioid-induced sexual dysfunction, Without use disorder
F11.982;Opioid-induced sleep disorder, Without use disorder
F11.988;Opioid-induced anxiety disorder, Without use disorder
F11.99;Unspecified opioid-related disorder
F12.10;Cannabis use disorder, Mild
F12.121;Cannabis intoxication delirium, With mild use disorder
F12.122;Cannabis intoxication, With perceptual disturbances, With mild use disorder
F12.129;Cannabis intoxication, Without perceptual disturbances, With mild use disorder
F12.159;Cannabis-induced psychotic disorder, With mild use disorder
F12.180;Cannabis-induced anxiety disorder, With mild use disorder
F12.188;Cannabis-induced sleep disorder, With mild use disorder
F12.20;Cannabis use disorder, Moderate
F12.20;Cannabis use disorder, Severe
